timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_vel_x,angular_vel_y,angular_vel_z,linear_acc_x,linear_acc_y,linear_acc_z
1741261535.0107584,0.48547748,-0.004125365,-0.00737096,0.8742084,-0.026631609,0.07030744,-1.5339806,0.8535329,-0.47764325,8.158242
1741261535.0132005,0.4868206,-0.0041549383,-0.0073493244,0.8734612,-0.028762136,0.05006742,-1.5414375,0.6392518,-0.6919243,7.2927384
1741261535.014905,0.4881509,-0.0042195665,-0.0073464694,0.8727181,-0.07243797,0.07350324,-1.5180017,0.6392518,-0.6919243,7.2927384
1741261535.017243,0.48949933,-0.0042965338,-0.007344356,0.8719622,-0.060720067,0.10226537,-1.5574164,0.5662287,-0.21308395,8.230068
1741261535.0191975,0.49085614,-0.004360689,-0.007344629,0.8711988,-0.055393744,0.08202535,-1.559547,0.5662287,-0.21308395,8.230068
1741261535.0208192,0.49222073,-0.004434059,-0.007337807,0.87042826,-0.05006742,0.08415588,-1.5712649,0.5662287,-0.21308395,8.230068
1741261535.0232854,0.49358755,-0.004517158,-0.007322493,0.86965364,-0.05645901,0.09906958,-1.5733954,0.9828198,-0.4333505,8.093599
1741261535.025124,0.4956372,-0.0046280297,-0.0073667816,0.86848617,-0.08735167,0.08096009,-1.5808523,0.9828198,-0.4333505,8.093599
1741261535.0283403,0.4956372,-0.0046280297,-0.0073667816,0.86848617,-0.08735167,0.08096009,-1.5808523,0.9828198,-0.4333505,8.093599
1741261535.0287678,0.49770504,-0.004712473,-0.007408357,0.86730194,-0.079894826,0.06604639,-1.5861785,1.1755531,-0.34237084,8.087613
1741261535.0307708,0.4990871,-0.0047870777,-0.007454367,0.86650664,-0.107591696,0.07030744,-1.6010922,1.1755531,-0.34237084,8.087613
1741261535.0330093,0.500479,-0.0048700757,-0.0075203106,0.8657024,-0.13209277,0.079894826,-1.6053534,0.8798691,-0.108936176,8.862138
1741261535.034723,0.5018734,-0.0049586887,-0.00757159,0.86489385,-0.11078749,0.08415588,-1.6128101,0.8798691,-0.108936176,8.862138
1741261535.0370328,0.50326717,-0.005040259,-0.007650414,0.86408234,-0.12676646,0.04154531,-1.6117449,0.90620536,-0.12449849,8.360553
1741261535.039452,0.50535643,-0.0051412843,-0.007744632,0.86286074,-0.12570119,0.08522114,-1.6064186,0.90620536,-0.12449849,8.360553
1741261535.0422862,0.50604904,-0.005188405,-0.007776732,0.8624542,-0.13315804,0.07882956,-1.6064186,0.90620536,-0.12449849,8.360553
1741261535.0437317,0.50744015,-0.005290374,-0.0078411475,0.8616352,-0.15020227,0.08522114,-1.6192018,1.0474633,-0.37828386,9.00579
1741261535.0451329,0.5088282,-0.0054065785,-0.007924951,0.86081475,-0.16511597,0.08202535,-1.6106796,1.0474633,-0.37828386,9.00579
1741261535.047615,0.51022124,-0.005505164,-0.008003174,0.85998845,-0.13315804,0.06604639,-1.624528,0.8487445,-0.21428105,9.455899
1741261535.0490468,0.5116154,-0.0056269527,-0.008091819,0.8591582,-0.16831176,0.10013484,-1.6181365,0.8487445,-0.21428105,9.455899
1741261535.0507376,0.5130046,-0.005745006,-0.008145731,0.858328,-0.12996225,0.09693905,-1.6149406,0.8487445,-0.21428105,9.455899
1741261535.053173,0.51438946,-0.005869961,-0.0082040215,0.85749745,-0.13848436,0.106526434,-1.6128101,1.0486604,-0.08619126,9.506178
